crop,temperature,rainfall,N,P,K,ph,humidity,fertilizer_used,irrigation_used,yield_tons_per_ha
rice,35.6,1291.42,13.9,17.7,57.5,9.186,25.09,1,0,1.02
cotton,30.73,1400.7,16.5,13.6,67.2,4.388,59.22,1,1,0.971
wheat,27.08,785.59,127.8,112.6,201.8,6.597,21.25,1,0,1.713
soybeans,22.25,499.04,41.6,47.8,182.0,8.205,71.6,1,0,2.104
wheat,36.96,1206.28,126.2,35.0,138.6,8.3,77.85,1,0,1.299
rice,24.94,499.55,113.7,126.4,139.6,3.805,62.7,1,0,2.897
wheat,38.93,1119.16,116.1,19.7,122.2,4.428,39.6,1,1,1.526
rice,29.77,871.34,66.0,74.4,151.4,4.071,71.46,1,0,1.605
maize,16.97,637.72,37.7,32.8,161.7,9.41,45.84,1,1,2.416
soybeans,16.59,748.82,5.9,69.8,88.8,8.566,44.53,1,0,1.424
cotton,17.21,1041.77,41.3,6.3,131.7,4.236,70.7,1,1,1.074
cassava,21.4,1217.64,91.4,66.1,135.4,3.843,29.5,1,1,4.049
cotton,35.46,80.21,9.3,69.0,152.5,4.525,37.36,0,0,0.58
wheat,17.04,902.26,134.7,19.5,29.3,8.061,71.38,0,1,1.823
wheat,18.31,1113.44,101.2,82.3,53.2,5.149,46.93,0,0,1.304
cassava,11.36,574.34,105.9,56.6,148.0,5.902,50.4,1,1,4.372
wheat,30.85,921.98,57.2,131.3,64.1,3.56,30.92,0,0,1.41
soybeans,11.74,1059.58,7.4,119.4,170.0,5.041,41.83,1,1,1.099
maize,15.38,1457.48,15.9,61.5,152.6,8.08,50.35,0,0,1.186
rice,25.41,1427.9,75.0,60.2,174.6,6.704,54.58,1,1,1.691
soybeans,11.36,52.72,49.1,38.8,17.5,4.667,24.71,1,0,1.232
soybeans,30.32,1061.82,75.0,128.9,55.4,5.977,80.88,1,1,1.273
cotton,28.26,489.82,89.4,92.5,124.4,4.536,68.57,1,0,1.181
soybeans,21.13,1061.37,66.6,122.1,140.6,7.95,32.68,1,1,1.402
cotton,12.75,516.16,87.9,130.2,172.9,5.142,25.53,0,1,0.897
maize,21.6,124.17,55.7,76.6,101.7,5.988,86.17,0,1,1.851
rice,27.08,966.0,72.6,12.2,51.6,6.698,40.68,0,1,1.359
soybeans,36.69,1065.44,28.2,65.2,103.8,3.859,96.1,0,1,1.34
cassava,18.27,123.91,127.7,128.6,199.2,8.157,72.71,1,0,7.854
wheat,16.18,653.48,43.6,115.2,15.0,4.778,32.12,1,1,2.103
soybeans,28.54,1191.14,46.8,128.4,128.0,8.845,60.98,0,1,1.452
maize,37.02,661.5,38.8,87.9,187.5,4.869,67.58,1,1,2.442
cassava,33.48,282.89,136.7,49.1,90.8,5.286,63.83,0,0,6.317
cassava,25.11,1278.92,120.7,91.3,190.6,6.75,90.46,1,0,3.841
maize,13.97,687.79,90.2,58.3,15.9,7.396,91.61,0,0,2.386
wheat,37.09,1369.28,125.8,119.8,144.0,3.659,25.37,0,0,0.894
cotton,28.57,488.78,135.3,44.5,122.8,9.957,89.77,1,1,1.055
wheat,16.16,814.63,109.2,39.5,83.7,9.68,79.49,1,0,1.852
soybeans,30.18,903.6,31.3,123.6,103.4,8.846,48.92,1,1,1.913
rice,13.91,982.97,27.6,18.7,38.4,9.504,84.65,0,1,1.162
cotton,17.77,1384.38,112.8,24.8,158.9,9.435,20.75,1,1,1.291
soybeans,27.21,725.71,89.1,46.7,41.5,7.508,34.11,0,0,0.958
wheat,28.79,678.97,47.9,34.8,125.8,9.705,44.94,1,0,1.936
rice,16.32,393.24,87.9,121.2,88.1,5.179,88.56,1,0,2.996
maize,10.02,1312.47,111.0,92.8,155.1,4.488,53.42,0,0,1.707
maize,10.33,248.48,126.0,127.3,124.5,7.403,71.19,0,1,2.014
wheat,35.44,1496.48,82.4,48.3,139.7,8.992,28.74,1,0,1.218
wheat,26.64,1033.83,32.1,76.7,187.3,6.829,27.53,1,1,1.781
soybeans,36.58,1279.04,29.5,92.4,19.5,8.939,29.01,0,0,1.262
cotton,27.31,175.1,50.2,62.7,172.0,6.837,76.87,0,0,0.872
soybeans,27.06,860.09,119.0,144.4,106.6,5.744,29.99,0,1,0.73
cassava,14.37,383.48,86.5,14.4,97.9,7.462,50.28,0,1,7.318
soybeans,12.31,619.77,93.8,70.8,81.7,4.275,35.06,0,1,0.975
cassava,32.06,1258.18,126.5,85.1,155.7,8.388,27.39,0,0,3.114
soybeans,13.26,1136.47,42.7,138.2,147.9,5.624,38.9,1,0,1.51
rice,24.28,1487.94,107.9,34.5,105.3,5.019,49.22,1,1,1.716
wheat,29.57,268.01,86.4,124.3,29.1,9.333,20.83,0,1,1.612
maize,23.62,1155.55,17.6,32.5,195.3,4.641,62.82,1,0,1.617
cassava,25.63,950.89,12.8,65.6,50.5,5.152,57.35,1,1,4.271
cotton,19.36,1090.06,28.0,69.4,58.1,6.435,80.14,1,1,1.175
cotton,21.42,1017.92,136.5,89.9,149.3,4.072,67.99,1,1,0.997
cotton,13.21,1155.87,118.9,87.2,37.2,3.599,74.27,1,1,1.066
soybeans,10.63,538.22,20.2,37.6,186.1,3.74,32.9,0,1,1.618
cassava,14.29,527.07,61.9,31.9,95.0,4.522,62.07,1,0,4.463
cassava,14.74,1361.04,32.3,45.8,175.2,6.48,16.06,1,0,3.813
wheat,21.64,979.21,122.5,97.5,172.8,6.581,75.69,1,0,1.945
wheat,28.99,1234.5,4.0,15.9,18.9,7.354,65.85,1,0,1.124
soybeans,23.94,69.8,67.4,12.8,200.5,8.639,56.15,0,1,1.132
cotton,18.49,694.36,51.5,107.9,125.7,7.749,32.11,0,0,1.03
maize,26.47,324.33,100.9,76.6,125.9,6.496,85.27,1,1,2.754
rice,27.44,1182.14,26.8,12.0,179.7,3.991,35.22,1,0,1.239
soybeans,30.39,559.27,43.9,100.8,48.1,6.228,30.18,0,1,2.142
soybeans,18.19,296.01,67.8,103.3,50.4,3.527,43.49,1,1,1.24
cassava,18.9,336.52,18.1,37.7,133.5,6.46,61.62,0,1,6.422
maize,15.32,1138.39,113.0,143.7,87.5,5.918,80.77,0,1,2.389
rice,32.89,1151.26,124.1,107.1,190.6,5.662,57.28,0,0,1.261
wheat,36.95,365.81,59.7,141.1,170.4,4.202,57.73,1,1,1.879
rice,15.04,1459.54,86.5,142.4,72.6,8.07,33.14,0,1,1.448
cassava,37.07,381.84,26.7,77.7,139.5,3.788,33.01,1,0,6.831
cassava,12.24,415.05,24.9,113.4,69.3,8.731,28.95,1,1,5.876
soybeans,39.55,1339.46,108.0,62.6,41.8,9.619,59.78,1,0,0.537
soybeans,12.8,116.6,15.6,31.2,105.8,9.019,34.27,1,1,1.28
maize,10.33,1362.8,12.8,49.7,195.0,9.679,63.32,1,0,1.371
wheat,31.68,204.7,7.6,117.7,167.0,4.283,39.93,1,1,1.338
maize,36.6,702.19,27.2,56.5,87.8,8.879,77.09,1,0,1.948
soybeans,11.43,407.37,20.0,83.1,42.0,3.753,17.1,1,1,1.683
rice,21.83,51.86,16.8,79.8,140.0,6.213,76.84,1,0,2.708
cassava,37.18,390.07,27.7,5.9,146.4,9.594,30.08,1,1,7.276
wheat,18.05,1240.37,22.8,114.2,140.0,5.622,61.0,1,0,1.279
cassava,13.71,986.26,139.5,37.5,60.9,9.817,29.37,1,0,2.904
rice,35.36,1104.39,137.3,26.8,50.1,4.877,82.16,0,0,1.157
wheat,21.66,1172.54,18.1,66.2,144.8,6.146,19.03,1,1,1.355
cassava,17.66,920.81,95.9,70.3,72.3,7.524,98.09,1,0,3.609
soybeans,14.45,1067.95,101.6,99.4,72.2,4.604,63.95,1,1,0.743
soybeans,37.97,1320.63,44.7,87.1,20.5,5.176,22.1,0,1,1.315
rice,38.41,639.37,108.1,72.7,184.5,9.4,21.52,1,1,2.733
maize,10.93,426.39,4.7,128.1,53.7,7.123,17.35,1,0,1.786
cassava,31.19,1491.17,96.3,9.8,170.4,5.35,52.36,0,0,3.139
rice,37.98,927.18,92.3,61.3,186.8,7.647,80.15,0,1,1.496
cassava,21.22,1008.94,91.3,125.4,33.1,6.295,22.36,0,0,3.691
rice,23.69,1346.43,69.7,122.9,165.3,6.168,33.79,1,1,1.722
maize,20.43,1014.12,111.4,134.8,51.9,6.096,27.11,1,1,2.837
cassava,17.7,867.39,10.8,117.0,190.1,9.184,43.39,0,0,2.63
cassava,17.23,143.68,74.2,43.3,164.2,3.552,86.46,1,1,8.959
wheat,33.71,581.6,9.1,94.2,171.9,7.822,50.56,0,1,1.344
maize,25.96,205.4,62.6,79.6,53.5,5.25,46.45,0,0,2.014
rice,21.66,1305.3,101.4,61.5,47.9,5.814,38.43,0,1,1.621
cotton,13.36,994.81,85.3,77.2,190.3,6.887,99.18,1,0,1.357
wheat,32.1,251.36,117.4,88.5,192.6,9.129,20.44,0,1,1.501
soybeans,23.29,290.34,137.5,18.5,122.8,7.572,60.27,1,0,0.695
cotton,33.76,724.26,110.6,103.6,43.8,6.817,52.19,1,1,1.422
cotton,16.65,1359.67,68.8,100.0,34.2,5.176,64.41,0,0,1.152
cotton,25.61,1476.7,73.2,30.5,9.4,5.806,92.97,1,1,1.453
soybeans,19.0,360.07,5.3,11.0,179.0,7.91,70.81,1,1,1.717
maize,35.57,850.26,78.5,127.7,85.7,4.371,16.48,1,1,3.034
maize,14.1,994.88,103.4,49.2,134.0,6.068,75.34,0,1,2.16
rice,11.91,611.47,39.6,47.6,201.6,7.678,75.72,1,0,2.136
rice,12.63,969.08,128.0,34.2,138.1,4.012,65.92,0,1,1.121
cassava,21.06,362.35,75.3,121.6,69.7,5.141,37.99,1,0,7.653
wheat,39.41,553.93,117.1,40.9,20.2,3.706,66.13,0,0,1.563
cotton,13.85,1146.95,96.7,90.4,13.2,8.458,69.2,1,1,1.198
cassava,27.27,721.83,92.4,116.2,155.3,9.625,48.25,0,1,3.594
wheat,12.36,1113.73,124.9,27.8,150.1,6.393,78.83,1,0,1.873
cotton,27.22,1355.84,109.2,115.1,37.0,5.83,34.06,0,1,1.269
soybeans,16.28,1425.88,8.5,130.8,65.9,6.751,50.32,0,0,1.029
soybeans,20.99,112.66,136.4,7.4,194.5,5.896,14.87,1,1,0.717
cotton,34.61,247.24,98.8,133.8,120.3,4.71,24.92,0,0,0.856
cassava,28.51,852.56,12.4,107.1,125.4,7.8,91.3,1,1,3.99
rice,15.07,1241.61,107.7,88.5,72.4,5.206,24.48,1,1,1.639
wheat,29.46,1022.13,90.3,36.0,33.7,9.861,17.9,1,0,1.792
cassava,30.35,721.91,61.3,124.8,15.0,9.233,87.28,1,0,4.524
wheat,32.23,1380.5,121.0,144.2,41.5,5.481,68.72,1,1,1.555
soybeans,39.58,1162.17,131.9,35.3,159.3,3.631,71.69,1,0,0.556
cotton,19.13,1121.61,64.8,88.7,88.2,4.553,29.31,0,1,1.041
cassava,21.8,364.99,106.3,114.8,189.5,5.945,57.54,0,0,6.119
soybeans,36.66,522.8,18.7,73.5,154.3,4.214,50.52,0,0,1.253
cotton,15.87,583.47,2.3,122.5,161.0,3.911,45.38,1,0,0.772
cassava,32.14,1391.9,8.2,6.6,144.8,5.315,42.73,1,0,3.084
cassava,18.14,1202.5,32.1,27.2,161.5,8.101,29.71,0,1,3.419
cotton,37.67,334.65,123.8,61.1,171.6,7.866,29.13,1,0,1.116
cotton,21.15,1472.87,14.7,83.7,6.2,8.132,30.96,0,0,0.836
cotton,35.43,1384.37,75.2,35.1,188.2,4.732,18.16,0,1,1.239
cassava,38.97,311.93,83.2,64.7,72.0,7.177,81.28,0,1,9.036
cotton,29.54,186.63,97.3,106.5,203.7,8.007,73.07,1,1,1.271
soybeans,13.87,397.43,120.3,134.4,170.3,5.672,37.43,1,1,0.783
rice,12.53,1227.2,100.6,107.1,25.0,8.165,72.46,1,0,1.249
wheat,20.61,1038.72,25.8,58.5,80.4,5.047,89.36,1,0,1.534
cassava,24.08,1402.77,100.8,15.8,49.8,7.879,90.94,0,1,4.366
maize,19.96,724.74,1.9,16.4,56.7,3.681,68.3,1,1,1.903
rice,34.11,1235.84,137.1,75.3,96.0,8.398,25.39,1,1,1.46
rice,15.58,232.21,19.4,109.7,98.9,8.589,78.18,1,1,2.707
rice,18.54,118.24,93.6,125.8,37.6,8.781,87.39,1,0,3.328
maize,33.47,1489.15,33.7,127.4,171.1,4.96,48.34,1,1,1.602
maize,18.57,677.51,96.0,51.5,16.3,5.93,95.22,1,1,2.801
maize,21.2,379.54,10.2,89.5,138.6,7.527,53.86,0,1,1.797
maize,15.85,1341.09,105.0,132.2,156.7,7.382,70.26,1,1,2.424
cotton,17.12,770.84,30.7,142.8,174.5,3.671,95.51,1,0,1.037
soybeans,15.89,844.77,63.4,127.9,25.0,5.175,78.65,0,0,1.337
soybeans,33.42,577.49,103.0,76.8,152.7,9.397,93.21,1,1,1.055
maize,23.68,1188.51,28.0,77.0,123.5,3.802,66.25,0,0,1.467
rice,12.36,529.83,34.8,143.3,82.9,8.262,72.89,0,0,1.777
wheat,31.0,1288.68,12.2,20.2,133.1,9.7,54.06,1,1,1.245
maize,16.34,1301.35,124.1,32.5,152.5,5.362,83.03,1,0,2.271
wheat,21.39,1122.36,4.3,102.3,191.9,5.988,15.83,0,1,1.235
wheat,33.82,773.38,32.7,36.8,98.0,3.557,59.7,1,0,1.409
rice,11.3,555.29,25.1,95.6,97.9,6.72,50.78,1,0,1.693
maize,12.27,580.24,31.6,32.4,33.2,7.546,81.19,1,0,2.04
maize,21.86,313.58,22.0,120.8,13.4,6.225,28.47,1,1,2.2
cotton,21.31,176.12,65.8,110.3,77.1,5.03,94.1,1,1,1.101
soybeans,20.99,985.89,132.7,10.8,188.8,7.459,83.43,0,0,0.726
maize,15.7,1199.26,127.1,137.1,197.0,6.889,98.05,1,0,2.254
rice,31.33,125.35,120.4,69.2,57.5,5.071,55.54,1,0,3.399
wheat,32.72,60.25,69.5,108.2,161.6,4.527,50.03,1,0,1.465
maize,30.63,1097.93,97.0,23.8,64.9,5.832,83.18,0,0,2.112
wheat,19.09,797.78,90.3,140.1,171.6,8.161,55.19,0,0,1.972
maize,14.41,482.07,12.6,132.5,6.2,6.645,24.6,0,1,1.961
wheat,33.91,820.29,67.3,118.0,89.7,8.713,22.66,1,1,2.167
wheat,38.75,1341.73,139.2,63.4,14.3,5.489,72.12,0,0,0.998
cotton,26.23,476.07,38.7,126.7,34.0,6.72,95.94,1,1,1.192
cotton,18.5,192.48,67.1,137.5,117.2,7.839,23.71,0,0,0.856
wheat,34.22,1000.69,19.8,18.2,74.0,9.057,96.71,0,1,1.269
wheat,31.26,715.57,77.9,68.8,183.1,7.132,93.4,1,0,2.024
wheat,30.19,932.34,90.5,35.6,50.3,6.299,22.24,0,0,1.381
cotton,26.07,496.07,68.5,36.4,15.8,8.565,69.13,0,0,1.047
maize,25.09,701.56,82.0,92.5,19.4,7.937,34.81,1,1,3.093
maize,39.08,597.87,8.7,52.5,106.2,4.552,70.6,1,0,1.651
rice,35.17,1321.82,34.0,82.1,43.5,4.162,92.36,1,1,1.193
soybeans,39.1,1018.4,109.0,113.7,112.0,8.684,65.24,0,1,0.684
rice,15.76,1268.0,101.5,130.3,28.5,9.936,32.01,0,1,1.349
maize,26.6,779.54,27.1,125.2,140.4,8.946,87.85,1,0,1.926
cassava,39.55,931.69,70.1,58.5,184.7,5.086,38.58,0,1,4.262
rice,15.17,442.9,40.0,42.9,176.1,3.707,20.54,0,0,2.183
soybeans,33.66,559.59,23.4,9.7,82.1,9.373,34.55,0,1,1.878
soybeans,12.26,1422.63,128.9,100.8,98.6,4.104,82.0,0,0,0.428
wheat,13.13,1073.12,18.4,67.1,131.4,7.104,98.08,1,1,1.636
maize,26.07,180.92,116.9,49.9,42.3,3.765,64.82,1,0,2.312
cassava,25.92,608.87,20.9,8.1,48.8,4.199,81.55,0,1,3.311
rice,26.3,491.9,25.5,17.0,147.8,4.776,73.35,0,0,2.387
soybeans,27.73,180.06,102.7,144.3,168.8,7.112,55.69,1,1,0.956
wheat,11.57,625.14,10.4,109.8,17.7,4.707,49.86,1,0,1.606
rice,39.35,903.23,78.0,96.8,104.4,3.708,66.66,1,0,1.378
cassava,37.44,1396.65,95.7,7.5,112.4,7.59,99.54,1,1,4.998
cassava,18.29,874.66,63.2,65.9,27.4,4.417,84.61,1,0,3.643
wheat,15.76,1447.71,134.3,109.6,64.3,5.094,99.02,0,1,1.174
cassava,33.69,201.9,117.1,62.1,57.6,7.242,84.71,1,1,10.522
cotton,27.33,1126.62,32.9,46.1,118.9,9.89,32.7,1,1,1.188
maize,27.34,1361.32,114.4,111.0,16.1,3.545,32.27,1,0,2.136
wheat,38.47,606.35,116.6,134.0,103.3,8.239,46.42,0,1,1.762
maize,25.18,1269.02,102.6,80.9,123.1,6.804,39.59,1,1,2.675
rice,32.63,79.74,34.9,129.7,148.7,3.974,84.62,1,1,2.95
cassava,37.4,642.16,65.6,123.4,126.8,7.462,39.5,1,0,4.092
soybeans,26.01,1244.01,137.4,62.5,157.7,4.148,80.81,0,0,0.553
cassava,10.39,507.89,109.2,98.9,151.3,8.777,81.36,1,0,4.018
cassava,39.75,51.24,27.6,31.4,148.4,5.791,53.32,0,0,6.621
soybeans,20.23,838.12,117.7,128.7,37.1,5.707,42.83,0,1,0.812
maize,11.95,890.98,78.6,83.5,125.7,7.897,83.23,0,1,2.181
rice,24.09,710.43,81.5,54.9,37.9,6.774,85.4,1,0,2.333
cassava,24.73,182.55,22.4,58.6,36.1,9.764,95.42,0,1,9.287
soybeans,29.4,1399.31,60.0,51.4,200.4,9.112,41.78,1,0,1.243
soybeans,32.89,931.56,14.4,124.3,125.3,9.746,71.64,0,0,1.252
cotton,37.13,689.26,101.3,119.0,106.0,6.094,92.73,0,0,1.257
wheat,13.13,575.58,41.9,93.8,181.7,6.456,78.21,0,1,1.778
rice,30.12,440.69,38.9,135.7,149.7,7.252,69.7,0,1,3.435
cassava,37.07,462.3,91.6,79.9,124.3,6.203,39.8,0,1,6.056
soybeans,17.09,685.65,2.4,26.2,23.4,5.058,22.6,1,0,1.276
maize,30.29,1035.47,132.4,46.4,5.2,5.268,32.74,1,1,2.742
rice,10.85,962.56,136.6,51.4,28.7,7.208,91.95,1,1,1.395
rice,38.31,1216.09,25.3,61.9,76.1,8.642,57.88,0,1,0.974
maize,20.88,1218.29,45.9,34.3,21.9,6.534,55.46,1,0,2.059
cassava,22.41,591.86,75.1,68.5,182.9,8.026,91.28,1,1,4.968
cotton,39.34,1490.3,83.7,51.4,49.6,5.297,18.31,1,0,1.155
rice,31.68,512.88,126.8,22.7,40.7,6.705,21.05,0,1,2.98
cassava,28.18,468.8,111.6,116.8,160.1,6.911,38.47,1,0,5.627
rice,28.43,534.51,114.5,10.4,179.2,6.833,48.25,1,1,2.726
rice,16.95,312.77,113.4,23.9,98.7,9.601,29.98,1,1,3.201
cassava,22.77,503.23,106.6,121.5,200.1,7.673,53.69,0,0,4.478
rice,22.97,953.6,10.4,75.5,41.5,7.231,68.82,1,1,1.18
cotton,37.49,1282.18,111.7,143.2,144.4,8.382,98.52,0,1,1.159
maize,22.93,410.64,86.4,103.9,38.4,4.59,17.15,1,1,3.078
wheat,22.73,505.51,128.1,10.9,51.9,8.756,85.72,0,1,1.868
rice,37.2,327.3,86.2,61.8,13.2,5.757,36.81,1,1,4.498
maize,39.43,991.79,112.6,105.1,123.6,3.847,53.11,1,1,2.496
maize,29.25,426.75,124.1,130.4,64.5,4.995,49.37,0,1,2.597
cotton,39.81,758.42,77.1,102.2,198.7,8.592,33.28,0,0,0.993
soybeans,15.98,666.88,105.8,89.7,142.7,5.335,55.4,0,1,0.898
cassava,15.3,569.57,91.5,37.8,41.7,3.565,54.56,1,0,4.096
wheat,13.09,218.36,73.9,91.8,85.7,5.376,83.6,0,0,1.465
rice,11.22,1374.9,116.6,46.7,162.9,3.703,97.15,1,0,1.142
soybeans,11.44,1328.97,62.2,87.5,32.8,3.522,35.09,1,0,1.158
wheat,38.12,1189.99,38.2,46.6,18.9,5.358,21.97,1,1,1.24
cassava,36.95,814.21,119.0,13.4,50.5,5.186,47.26,1,0,3.83
wheat,36.66,1032.88,23.7,103.7,153.3,9.265,33.16,1,0,1.226
cassava,32.37,417.53,122.6,69.4,47.0,9.125,49.93,1,1,6.535
wheat,15.6,234.32,82.3,75.9,144.0,5.484,48.6,0,1,2.034
cassava,10.5,615.92,91.6,40.6,91.4,3.869,64.58,1,0,3.093
wheat,23.65,291.42,45.7,14.8,182.9,4.792,79.09,0,0,1.734
soybeans,25.18,628.03,16.7,63.3,19.6,4.142,49.77,0,1,1.892
maize,17.01,148.87,26.2,82.8,63.3,6.213,46.41,1,1,1.783
cassava,39.62,1198.43,139.1,140.6,102.9,8.026,23.5,1,1,4.166
soybeans,27.58,1178.97,34.8,99.9,185.4,6.007,81.0,1,0,1.686
cassava,38.97,382.35,20.1,132.8,138.8,6.347,63.3,1,1,7.263
wheat,15.02,1040.28,106.0,15.0,175.0,8.891,54.64,1,1,1.902
cotton,10.05,972.73,104.8,39.9,97.9,9.777,39.64,0,0,0.951
cassava,31.67,1231.86,119.5,15.8,73.7,7.966,56.88,0,1,3.102
soybeans,35.11,90.07,116.8,24.6,182.3,8.244,28.16,1,0,0.613
cassava,31.19,654.7,31.3,106.3,126.6,6.759,67.67,0,1,3.821
maize,27.5,909.62,49.7,12.3,11.3,6.252,21.27,1,1,2.759
maize,18.45,1315.49,15.8,103.5,113.1,4.127,34.8,0,0,1.308
cassava,26.29,1016.64,114.5,57.4,174.7,4.559,37.3,0,0,3.316
cassava,10.56,1432.66,118.3,41.5,128.3,9.501,22.26,1,0,3.179
wheat,32.68,846.02,37.6,74.2,144.4,3.577,68.82,1,0,1.385
wheat,10.7,1246.57,117.7,109.5,61.0,7.659,41.2,1,0,1.497
cassava,20.35,807.32,50.4,7.2,117.5,4.304,20.88,1,0,4.066
cotton,32.05,187.25,41.5,134.7,90.8,9.603,99.26,1,0,0.882
cassava,13.63,371.33,53.2,55.5,83.3,8.658,41.88,1,1,8.003
wheat,35.43,66.24,89.8,23.4,169.6,8.561,56.99,0,1,1.34
rice,39.27,533.2,83.3,17.6,126.2,4.083,96.49,1,1,3.193
soybeans,12.43,1318.65,120.2,61.5,145.5,7.121,87.35,0,1,0.542
cotton,27.25,1036.9,47.6,55.7,67.9,8.129,27.9,0,1,1.358
maize,24.43,1010.53,16.6,45.4,84.6,9.477,99.42,0,1,1.54
cotton,26.2,518.82,67.0,76.7,85.1,9.544,77.97,0,1,1.073
rice,30.94,500.91,14.0,43.1,171.4,9.873,56.47,0,0,1.984
maize,10.73,1311.64,3.0,127.5,110.8,9.604,82.7,1,0,1.323
cassava,19.22,1053.39,105.4,26.2,85.1,6.638,44.59,0,1,3.749
cotton,30.59,1091.45,38.5,115.5,175.9,9.484,27.86,0,1,1.062
maize,26.44,708.85,118.2,18.7,102.6,4.475,41.92,1,0,2.671
maize,32.75,1059.23,21.5,119.2,49.9,4.955,60.18,1,1,1.879
cassava,18.28,311.07,77.9,123.0,35.6,3.713,35.23,1,1,9.236
cassava,19.27,842.15,98.4,145.0,92.1,6.283,86.46,1,1,4.265
wheat,25.7,1129.6,38.2,136.4,43.9,3.931,69.42,1,1,1.516
cotton,25.15,391.09,122.5,26.4,138.3,5.229,44.66,1,0,1.278
cotton,23.98,1016.25,94.0,32.2,45.0,6.552,92.4,0,1,1.3
cassava,13.36,504.33,58.5,27.3,106.2,4.054,18.0,1,0,4.888
cotton,19.12,1412.75,35.0,49.0,130.7,8.451,57.12,1,0,1.058
cassava,29.56,921.64,129.5,37.0,103.7,9.246,20.7,0,0,2.625
cotton,21.87,1001.21,116.0,115.8,149.3,5.834,24.52,0,1,1.216
cotton,38.62,214.16,29.1,139.8,196.5,4.652,26.48,1,0,0.801
wheat,38.38,679.2,27.3,135.7,25.9,8.242,67.77,0,0,1.324
cassava,31.44,1463.92,125.6,45.8,70.3,5.915,47.93,0,1,3.904
maize,24.49,439.37,40.2,96.9,198.7,7.424,20.62,0,1,2.097
rice,12.04,330.99,30.0,108.3,42.8,7.228,32.51,1,1,2.509
maize,16.97,1354.38,53.7,81.1,186.3,7.558,24.05,1,1,1.957
cassava,11.86,1294.21,43.9,32.4,108.2,9.416,17.75,1,1,4.3
cotton,18.39,515.63,135.6,98.6,90.2,9.922,27.18,1,1,1.044
wheat,11.06,449.73,138.4,42.8,137.7,4.269,65.76,1,0,1.795
wheat,37.26,645.99,119.0,39.9,67.6,3.885,36.17,1,1,1.996
maize,35.35,622.83,7.2,61.3,139.8,6.427,78.41,0,1,1.986
cotton,19.86,198.69,37.1,23.3,63.9,5.202,68.84,1,1,0.914
cassava,22.56,114.23,82.5,82.0,20.6,9.631,22.55,1,0,9.269
cotton,11.41,1183.97,28.9,45.1,103.6,6.423,58.77,1,0,0.949
cassava,32.38,1022.55,90.1,39.1,9.5,8.757,56.24,0,0,3.507
wheat,33.74,1093.54,124.2,35.4,26.5,7.5,84.72,1,1,1.875
soybeans,16.85,603.69,91.5,15.7,125.7,9.553,87.13,0,1,0.96
soybeans,39.23,687.26,8.5,109.9,118.0,6.411,40.6,1,0,1.584
cotton,38.7,86.62,46.6,41.4,14.6,6.137,67.59,1,1,0.999
cotton,34.62,1101.22,122.0,28.8,19.7,4.276,27.85,1,1,1.23
cotton,37.36,1128.37,55.3,18.3,56.4,9.719,40.69,0,0,1.143
cotton,32.17,1380.85,123.7,122.9,194.2,6.993,14.6,0,1,1.047
cotton,22.3,260.85,96.5,23.1,43.1,8.815,70.77,1,0,0.926
maize,12.85,506.63,13.5,29.8,202.5,6.387,59.74,1,1,2.019
rice,37.73,85.37,81.4,81.9,48.9,6.288,70.09,1,0,3.383
cassava,12.53,811.09,29.2,14.4,105.6,6.747,74.79,1,1,4.513
cotton,25.95,798.64,2.7,44.5,15.6,9.351,76.37,1,0,0.954
cassava,34.38,890.46,33.0,130.3,14.1,4.812,78.68,1,0,4.134
maize,29.76,1053.8,118.9,40.0,102.9,4.938,98.94,1,0,2.608
soybeans,13.87,1421.7,99.7,108.8,104.9,6.586,23.46,1,0,0.675
cotton,35.65,724.31,92.5,8.4,55.0,6.336,68.23,0,1,1.367
rice,19.98,685.53,36.8,28.1,142.8,6.845,31.21,0,1,1.916
rice,23.24,76.04,10.4,76.5,198.9,8.006,20.1,0,1,2.389
wheat,36.19,174.73,4.3,89.9,71.2,6.217,48.89,0,0,0.923
cassava,36.55,628.9,56.1,61.7,24.6,9.841,25.91,0,0,3.361
cotton,24.28,726.98,69.0,80.0,11.2,7.961,55.9,1,1,1.57
cassava,10.48,205.17,41.0,82.3,17.8,4.385,29.57,1,1,9.468
cotton,38.7,83.9,75.3,35.5,116.6,6.532,63.52,1,1,1.184
cotton,14.03,617.27,136.0,54.2,178.6,4.106,42.74,0,0,0.806
maize,11.81,1404.93,49.2,19.2,102.2,5.169,38.5,0,1,1.352
wheat,36.84,1031.82,90.7,13.2,168.6,7.179,86.92,1,1,1.722
cotton,23.1,1374.01,110.8,47.8,190.0,5.643,20.24,1,1,1.419
cassava,33.71,360.75,48.2,127.4,15.0,6.83,55.43,1,0,8.085
soybeans,33.89,532.35,83.0,74.3,194.1,8.359,76.83,0,1,1.288
rice,26.02,1325.22,57.4,72.5,19.1,5.308,41.91,1,0,1.691
rice,10.11,400.18,71.4,58.2,94.7,9.874,44.12,1,0,2.934
cassava,15.41,745.44,92.1,65.6,140.9,6.433,42.69,0,0,3.266
soybeans,37.86,1465.05,131.5,43.1,107.0,4.64,83.33,1,1,0.59
cotton,16.02,1355.31,69.6,111.2,17.9,6.209,71.98,0,0,1.063
wheat,29.6,355.08,109.9,20.5,184.0,8.963,72.38,0,0,1.84
